Diarienummer;Sökbegrepp;Fastighet;Fnr
M-1990-2292;BOTTARVE 1:24 1:32 FRÖJEL;;
M-1994-1285;BOTVALDE 1:52 ARDRE BN:940531;;
M-1992-104;BOTVALDE AVLOPPSFÖRETAG;;
M-1995-2704;BOTVALDE AVLOPPSFÖRETAG;;
M-1992-109;BOTVALDE KAUPUNGS HINTZER TUMM;;
M-1994-1693;BOTVALDE LJUGARN;;
M-1989-1222;BOTVIDE 1:32 (AVST FRÅN);;
M-1990-2602;BOTVIDE 1:34 (DEL AV) SANDA;;
M-1990-223;BOTVIDE 1:45 (SANDA LIVS HB);;
M-1990-990;BOTVIDE 3:1 (DEL AV) SANDA;;
M-1990-30;BOTVIDE SANDA;;
M-1992-1870;BOTVIDE SANDA;;
M-1994-1191;BOXARVE 1:42 LEVIDE BN: 940476;;
M-1992-1703;BREDGATAN M FL VISBY;;
M-1992-1985;BREDGATAN VISBY;;
M-1994-2153;BREDKVIE 1:18 FIDE/BN 940867;;
M-1994-2209;BREDKVIE 1:36 FIDE/BN 940885;;
M-1995-2284;BREMERGRÄND 10 2 VÅN VISBY;;
M-1989-2317;BRF KUNGSALLÉN ROMA;;
M-1993-212;BRF STÄDET;;
M-1991-239;BRF ÅKERLYCKAN HÖRSNE;;
M-1990-2362;BRILINGS LIVS ROMAKLOSTER;;
M-1995-551;BRINGES;;
